fold,comparison,delta_roc_auc,delta_pr_auc,delta_f1,delta_brier,delta_ece
0,tokens_vs_numeric,0.0035934811215709295,0.011527552514879913,0.016764386536373466,-0.0015684268801482437,-0.025931565701593128
0,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
1,tokens_vs_numeric,-0.009603841536614754,-0.01979268066681672,-0.2808056872037915,0.0008509806271194409,-0.025343988346473015
1,fusion_vs_tokens,-0.007703081232492859,-0.013797163625617337,0.3482905982905983,0.0004504693849911312,0.009810037317745808
2,tokens_vs_numeric,-0.022754854368932098,0.0027618514426022145,-0.007275866321371338,-0.0012790790822951315,-0.0057049424131722926
2,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
3,tokens_vs_numeric,0.06685729847494559,0.04618785152290111,-0.08228542757690738,0.0011536947355269556,0.014135269313931564
3,fusion_vs_tokens,-0.05433006535947721,-0.0374895071115634,-0.07538708858617482,0.001216087521382414,0.029189845674615057
4,tokens_vs_numeric,0.1614903540385838,0.07558386832048913,0.22222222222222224,-0.005416825704363054,-0.006316176997483568
4,fusion_vs_tokens,-0.04897180411278346,-0.04201379932190613,-0.26031746031746034,0.0019293612512610026,0.001498627850284373
5,tokens_vs_numeric,-0.11745533558667309,-0.11290541785320474,-0.38095238095238093,0.0023890027651176093,0.0023932903790914173
5,fusion_vs_tokens,-0.024323998068565944,-0.0017126323632767892,0.0,-0.0004859290105833636,-0.0027945600445544727
6,tokens_vs_numeric,0.09487391484084329,0.05864831880184662,0.05554991711492274,-0.01948166349482583,-0.05185979487573242
6,fusion_vs_tokens,-0.041391070690367904,-0.024227135869802074,-0.27636330392649816,0.0029477324718193976,0.0014897387806383222
7,tokens_vs_numeric,-0.02512396694214869,-0.032583039879226894,0.0,5.714879319929089e-05,-0.009008468272810558
7,fusion_vs_tokens,-0.004586776859504149,0.00021241564600799068,0.0,0.0002843683232697791,0.0043667938297912295
8,tokens_vs_numeric,-0.014808518253400127,-0.006781598679722389,-0.051213817033877285,0.007192396007651147,0.011196401637705383
8,fusion_vs_tokens,-0.0004026485325696605,-0.0015441577128141315,0.0036890645586297177,-0.0002637163362845807,7.912990738004333e-05
9,tokens_vs_numeric,-0.032447973713033984,-0.03237128872661704,-0.17161716171617164,0.0001218258846590603,-0.006802958143514268
9,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
10,tokens_vs_numeric,-0.006414141414141428,-0.0576313456462027,-0.2975206611570248,-0.0016648699871840145,-0.04410230965110604
10,fusion_vs_tokens,0.04035353535353531,0.018988140652233587,0.0,-0.0023653549560578024,0.0006709947775533007
11,tokens_vs_numeric,-0.048137626262626354,-0.026045339957532998,0.14725274725274728,0.009256291091920943,0.03659257570907162
11,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
12,tokens_vs_numeric,-0.04880382775119607,-0.06285756780333795,0.1953317597692106,0.004858184422847245,0.007179970215935985
12,fusion_vs_tokens,0.0146411483253589,0.002766437562844226,-0.14562211981566822,-0.0021102887457100095,0.006474329105608342
13,tokens_vs_numeric,-0.024941350784047356,-0.023073434376132407,0.3149187813459091,-0.0035926450842928004,-0.047053165508141676
13,fusion_vs_tokens,0.04056056303247313,0.01775884041861342,-0.09656588581772985,-0.0017951472689031744,0.0026420203221395634
14,tokens_vs_numeric,-0.021879483500717334,-0.04435980232748116,-0.07623416339012667,0.028815047552126716,0.05499979018955656
14,fusion_vs_tokens,-0.01434720229555242,0.0028674789127636213,0.0,-0.00246951736887957,-0.010806520994366131
