roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,W,h,n_folds
0.502759359291744,0.5027285840971436,0.38782626788947905,0.25158732879498363,0.04075638787135616,3781.410714285714,0.4993838534823486,,,10,3.0,56
0.5052261143063447,0.5044014085847321,0.38862375190782344,0.25166280846247013,0.04076621556172438,3781.410714285714,0.4993838534823486,,,10,5.0,56
0.5044960129198333,0.5038484254184411,0.39352165997210115,0.25156440484530257,0.04048258608966138,3781.410714285714,0.4993838534823486,,,10,7.0,56
0.5049961817884693,0.5038666757852484,0.39572319754630003,0.25153877298108274,0.04031789774179322,3781.410714285714,0.4993838534823486,,,10,10.0,56
0.5048721168492494,0.5043045831303744,0.3971463698586562,0.251598766014819,0.04038888507720605,3781.410714285714,0.4993838534823486,,,15,3.0,56
0.504579507768245,0.5042162455154469,0.3882089369158911,0.2515674677703364,0.040378571763407,3781.410714285714,0.4993838534823486,,,15,5.0,56
0.505771469457979,0.5050267839731234,0.37671719253632546,0.2515596347801015,0.04063136857359062,3781.410714285714,0.4993838534823486,,,15,7.0,56
0.5061426995183614,0.5049001363542533,0.3785035675524097,0.2516162812515606,0.040965269554896766,3781.410714285714,0.4993838534823486,,,15,10.0,56
0.5050405710944224,0.5040533272747103,0.3918567111239803,0.2515412839800869,0.04045072598971513,3781.410714285714,0.4993838534823486,,,20,3.0,56
0.5056767960576801,0.5051014007810608,0.3732898123233922,0.25155835637711266,0.04066823771890739,3781.410714285714,0.4993838534823486,,,20,5.0,56
0.5039860719036924,0.504156732406226,0.3895001010465688,0.2516131572852735,0.04081482579334239,3781.410714285714,0.4993838534823486,,,20,7.0,56
0.5028351783433561,0.5032973824285417,0.3877648943526533,0.2515478398660342,0.04083924149231693,3781.410714285714,0.4993838534823486,,,20,10.0,56
0.5023075727494021,0.503074780123726,0.3874664598496845,0.2515365093369613,0.04046613121938614,3781.410714285714,0.4993838534823486,,,30,3.0,56
0.5053832422991922,0.5049391580369675,0.3873833355154856,0.25157300124513665,0.04084708829342003,3781.410714285714,0.4993838534823486,,,30,5.0,56
0.504673458837812,0.5044319537706965,0.38851578073086157,0.2515489686917363,0.040484663595744465,3781.410714285714,0.4993838534823486,,,30,7.0,56
0.5045762438914029,0.5044631768433174,0.40725679166356,0.2515093761350509,0.04022817906777797,3781.410714285714,0.4993838534823486,,,30,10.0,56
0.5076086433996876,0.5067716679085393,0.3730440360063338,0.251520736698115,0.04066039310973594,3781.410714285714,0.4993838534823486,,,40,3.0,56
0.5060981751390029,0.5059089821223398,0.3804373348625448,0.2515544592418416,0.04076127744921985,3781.410714285714,0.4993838534823486,,,40,5.0,56
0.5054818784739323,0.5054347804496805,0.38120916007399036,0.25158848762676006,0.04149899208443876,3781.410714285714,0.4993838534823486,,,40,7.0,56
0.5058807331268357,0.505417083231264,0.38516633388512733,0.25151872352591426,0.041132837001602626,3781.410714285714,0.4993838534823486,,,40,10.0,56
